"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Smiley","Smiley","City","48177","TX","Texas","29.2713","-97.6376","542"
"Slaton","Slaton","City","48303","TX","Texas","33.4421","-101.6476","5886"
"Skidmore","Skidmore","City","48025","TX","Texas","28.2626","-97.6854","1265"
"Skellytown","Skellytown","City","48065","TX","Texas","35.5704","-101.1728","372"
"Sinton","Sinton","City","48409","TX","Texas","28.0392","-97.5153","5557"
"Simonton","Simonton","City","48157","TX","Texas","29.6824","-95.991","838"
"Silverton","Silverton","City","48045","TX","Texas","34.4714","-101.304","701"
"Silsbee","Silsbee","City","48199","TX","Texas","30.3456","-94.1764","6822"
"Siesta Shores","Siesta Shores","City","48505","TX","Texas","26.8548","-99.2605","1715"
"Siesta Acres","Siesta Acres","City","48323","TX","Texas","28.7564","-100.491","1687"
"Sierra Blanca","Sierra Blanca","City","48229","TX","Texas","31.1835","-105.3395","676"
"Shoreacres","Shoreacres","City","48201","TX","Texas","29.6203","-95.0191","1460"
"Shiro","Shiro","City","48185","TX","Texas","30.6087","-95.8862","75"
"Shiner","Shiner","City","48285","TX","Texas","29.4332","-97.1734","2018"
"Sherwood Shores","Sherwood Shores","City","48181","TX","Texas","33.8478","-96.8147","778"
"Sherman","Sherman","City","48181","TX","Texas","33.6273","-96.6221","67210"
"Sheridan","Sheridan","City","48089","TX","Texas","29.5023","-96.6761","398"
"Shepherd","Shepherd","City","48407","TX","Texas","30.491","-95.0021","2206"
"Shenandoah","Shenandoah","City","48339","TX","Texas","30.184","-95.4557","3350"
"Sheldon","Sheldon","City","48201","TX","Texas","29.8596","-95.134","2176"
"Shelbyville","Shelbyville","City","48419","TX","Texas","31.7594","-94.0772","199"
"Sheffield","Sheffield","City","48371","TX","Texas","30.6859","-101.8224","40"
"Shavano Park","Shavano Park","City","48029","TX","Texas","29.5861","-98.5563","3496"
"Shamrock","Shamrock","City","48483","TX","Texas","35.2154","-100.2462","2033"
"Shallowater","Shallowater","City","48303","TX","Texas","33.6901","-101.9893","2893"
"Shadybrook","Shadybrook","City","48073","TX","Texas","32.1108","-95.4212","2191"
"Shady Shores","Shady Shores","City","48121","TX","Texas","33.1632","-97.0401","2759"
"Shady Hollow","Shady Hollow","City","48453","TX","Texas","30.1645","-97.8631","4587"
"Seymour","Seymour","City","48023","TX","Texas","33.5958","-99.258","2940"
"Seven Points","Seven Points","City","48213","TX","Texas","32.3291","-96.2142","1339"
"Seven Oaks","Seven Oaks","City","48373","TX","Texas","30.8518","-94.8578","124"
"Seth Ward","Seth Ward","City","48189","TX","Texas","34.2163","-101.6945","1849"
"Serenada","Serenada","City","48491","TX","Texas","30.6948","-97.6959","1668"
"Seminole","Seminole","City","48165","TX","Texas","32.7207","-102.6501","6913"
"Selma","Selma","City","48029","TX","Texas","29.5866","-98.3132","10601"
"Seis Lagos","Seis Lagos","City","48085","TX","Texas","33.071","-96.5665","1122"
"Seguin","Seguin","City","48187","TX","Texas","29.5891","-97.9676","29293"
"Seco Mines","Seco Mines","City","48323","TX","Texas","28.7467","-100.5027","1064"
"Sebastian","Sebastian","City","48489","TX","Texas","26.3454","-97.7964","1331"
"Sealy","Sealy","City","48015","TX","Texas","29.7662","-96.163","6766"
"Seagraves","Seagraves","City","48165","TX","Texas","32.942","-102.5657","2942"
"Seagoville","Seagoville","City","48113","TX","Texas","32.653","-96.5456","18263"
"Seadrift","Seadrift","City","48057","TX","Texas","28.4142","-96.7162","1317"
